sentence,choice1,choice2,choice3,choice4,category
My favorite color is blue,My favorite color is blue,Her preferred shade is green,His chosen hue is red,Their selected tint is yellow,sentenceComprehension
The cat is sleeping on the couch,The cat is sleeping on the couch,The dog is running in the yard,The bird is flying above the trees,The fish is swimming through the water,sentenceComprehension
I need to finish my homework tonight,I need to finish my homework tonight,You should complete your project tomorrow,They must submit their report yesterday,We ought to review our notes today,sentenceComprehension
The library opens at nine in the morning,The library opens at nine in the morning,The museum closes at six in the evening,The theater starts at seven in the afternoon,The restaurant ends at ten at night,sentenceComprehension
She plays the piano very well,She plays the piano very well,He strums the guitar quite poorly,They blow the trumpet rather badly,We beat the drums fairly nicely,sentenceComprehension
The train arrives in twenty minutes,The train arrives in twenty minutes,The bus departs within thirty seconds,The taxi comes during forty hours,The subway leaves after fifty days,sentenceComprehension
Please turn off your cell phone,Please turn off your cell phone,Kindly switch on your computer,Simply activate your tablet,Gently disable your television,sentenceComprehension
The weather is beautiful today,The weather is beautiful today,The climate was terrible yesterday,The forecast will be horrible tomorrow,The conditions are awful tonight,sentenceComprehension
I enjoy reading books before bed,I enjoy reading books before bed,You love watching movies after dinner,They like playing games during lunch,We prefer listening music throughout breakfast,sentenceComprehension
The doctor will see you now,The doctor will see you now,The nurse might check you later,The dentist should examine you yesterday,The therapist could visit you tomorrow,sentenceComprehension
My birthday is in December,My birthday is in December,Your anniversary was in September,Their wedding will be in October,Our graduation is in November,sentenceComprehension
The package should arrive by Friday,The package should arrive by Friday,The letter might depart on Monday,The parcel could reach before Tuesday,The box must leave after Wednesday,sentenceComprehension
I forgot my password again,I forgot my password again,You remembered your username once,They recalled their code twice,We misplaced our key thrice,sentenceComprehension
The children are playing in the park,The children are playing in the park,The adults were working at the office,The teenagers will be studying in the library,The seniors are resting at home,sentenceComprehension
She speaks three languages fluently,She speaks three languages fluently,He writes four dialects poorly,They read two tongues barely,We understand five idioms somewhat,sentenceComprehension
The movie starts in ten minutes,The movie starts in ten minutes,The show ends within five hours,The film pauses during twenty seconds,The program continues after thirty days,sentenceComprehension
I live on the fifth floor,I live on the fifth floor,You work on the third level,They study on the second story,We exercise on the fourth tier,sentenceComprehension
The baby is crying very loudly,The baby is crying very loudly,The toddler was laughing quite softly,The infant will be sleeping rather quietly,The child is playing fairly noisily,sentenceComprehension
Please close the window it's cold,Please close the window it's cold,Kindly open the door it's warm,Simply shut the curtain it's bright,Gently raise the blind it's dark,sentenceComprehension
The concert was absolutely amazing,The concert was absolutely amazing,The performance is totally boring,The show will be completely terrible,The recital was entirely wonderful,sentenceComprehension
I usually wake up at seven,I usually wake up at seven,You often sleep until eight,They sometimes rest till nine,We rarely doze past six,sentenceComprehension
The coffee is too hot to drink,The coffee is too hot to drink,The tea was so cold to sip,The juice will be quite warm to taste,The water is rather cool to swallow,sentenceComprehension
She walks to work every day,She walks to work every day,He drives to school each week,They bike to home every month,We run to gym each year,sentenceComprehension
The flowers smell wonderful,The flowers smell wonderful,The garbage stinks terrible,The perfume reeks horrible,The cake scents delicious,sentenceComprehension
I need to call my mother tonight,I need to call my mother tonight,You should text your father tomorrow,They must email their sister yesterday,We ought to message our brother today,sentenceComprehension
The restaurant serves delicious food,The restaurant serves delicious food,The cafe offers terrible drinks,The diner provides awful meals,The bistro gives excellent snacks,sentenceComprehension
The student received an excellent grade,The student received an excellent grade,The teacher gave a poor mark,The professor awarded a failing score,The instructor assigned a perfect point,sentenceComprehension
My car is parked outside,My car is parked outside,Your truck was stationed inside,Their van will be positioned nearby,Our bus is located faraway,sentenceComprehension
The party starts at eight tonight,The party starts at eight tonight,The gathering ends at nine yesterday,The celebration begins at ten tomorrow,The event finishes at seven today,sentenceComprehension
I can't find my reading glasses,I can't find my reading glasses,You won't locate your sunglasses,They shouldn't discover their safety goggles,We couldn't spot our swimming glasses,sentenceComprehension
The teacher explained the lesson clearly,The teacher explained the lesson clearly,The instructor confused the topic vaguely,The professor demonstrated the subject obscurely,The tutor presented the material obviously,sentenceComprehension
Please sign your name here,Please sign your name here,Kindly write your signature there,Simply mark your initials everywhere,Gently print your title nowhere,sentenceComprehension
The museum is closed on Mondays,The museum is closed on Mondays,The gallery opens on Tuesdays,The exhibition starts on Wednesdays,The showcase ends on Thursdays,sentenceComprehension
I prefer tea over coffee,I prefer tea over coffee,You choose juice under soda,They select milk above water,We favor wine below beer,sentenceComprehension
The traffic is very heavy today,The traffic is very heavy today,The congestion was quite light yesterday,The jam will be rather clear tomorrow,The flow is fairly smooth tonight,sentenceComprehension
She works as a nurse,She works as a nurse,He serves as a doctor,They function as a teacher,We operate as a lawyer,sentenceComprehension
The phone is ringing loudly,The phone is ringing loudly,The bell was chiming softly,The alarm will be buzzing quietly,The timer is beeping noisily,sentenceComprehension
I enjoy swimming in the ocean,I enjoy swimming in the ocean,You love diving in the pool,They like floating in the lake,We prefer surfing in the river,sentenceComprehension
The store has a big sale today,The store has a big sale today,The shop had a small discount yesterday,The market will have a huge markdown tomorrow,The outlet has a tiny rebate tonight,sentenceComprehension
Please wait for me outside,Please wait for me outside,Kindly stay for them inside,Simply remain for us nearby,Gently linger for him faraway,sentenceComprehension
The bird built a nest in the tree,The bird built a nest in the tree,The squirrel made a home in the ground,The bee created a hive in the wall,The spider wove a web in the corner,sentenceComprehension
I love listening to music,I love listening to music,You hate hearing to noise,They enjoy watching to television,We dislike reading to books,sentenceComprehension
The soup is still too hot,The soup is still too hot,The salad was already quite cold,The dessert will be rather warm,The appetizer is fairly cool,sentenceComprehension
She teaches mathematics at school,She teaches mathematics at school,He learns history at college,They study science at university,We practice art at academy,sentenceComprehension
The dog barks at strangers,The dog barks at strangers,The cat meows at friends,The bird chirps at neighbors,The cow moos at relatives,sentenceComprehension
I always drink water in the morning,I always drink water in the morning,You sometimes sip juice in the evening,They rarely taste milk in the afternoon,We often consume tea at night,sentenceComprehension
The book is on the table,The book is on the table,The pen was under the chair,The paper will be beside the desk,The notebook is above the shelf,sentenceComprehension
Please turn on the lights,Please turn on the lights,Kindly switch off the fan,Simply activate the heater,Gently disable the cooler,sentenceComprehension
The baby learned to walk yesterday,The baby learned to walk yesterday,The toddler forgot to run tomorrow,The infant remembered to crawl today,The child discovered to jump last week,sentenceComprehension
I need new shoes for winter,I need new shoes for winter,You want old boots for summer,They require used sandals for spring,We desire fresh slippers for fall,sentenceComprehension
The plane landed safely,The plane landed safely,The helicopter took off dangerously,The jet crashed carefully,The aircraft departed recklessly,sentenceComprehension
She lives in a small apartment,She lives in a small apartment,He resides in a large house,They dwell in a tiny mansion,We stay in a huge cottage,sentenceComprehension
The test was very difficult,The test was very difficult,The quiz is quite easy,The exam will be rather simple,The assessment was fairly hard,sentenceComprehension
I bought fresh vegetables at the market,I bought fresh vegetables at the market,You sold rotten fruits at the store,They exchanged stale meat at the shop,We returned spoiled fish at the stand,sentenceComprehension
Please bring an umbrella,Please bring an umbrella,Kindly take a raincoat,Simply carry a jacket,Gently fetch a sweater,sentenceComprehension
The children enjoy playing outside,The children enjoy playing outside,The adults dislike working inside,The teenagers love studying upstairs,The seniors hate resting downstairs,sentenceComprehension
I work from nine to five,I work from nine to five,You rest from ten to six,They play from eight to four,We study from seven to three,sentenceComprehension
The movie was three hours long,The movie was three hours long,The show is two minutes short,The film will be four seconds brief,The program was five days lengthy,sentenceComprehension
She bought a new car yesterday,She bought a new car yesterday,He sold an old truck tomorrow,They leased a used van today,We rented a fresh bus last week,sentenceComprehension
Please be quiet in the library,Please be quiet in the library,Kindly be loud in the museum,Simply be silent in the theater,Gently be noisy in the restaurant,sentenceComprehension
The flowers need water daily,The flowers need water daily,The plants require fertilizer weekly,The trees want sunlight monthly,The grass demands trimming yearly,sentenceComprehension
I can see the mountains from here,I can see the mountains from here,You could hear the ocean from there,They should smell the forest from everywhere,We would taste the air from nowhere,sentenceComprehension
The chef prepared a delicious meal,The chef prepared a delicious meal,The cook created a terrible dish,The baker made an awful dessert,The waiter served an excellent appetizer,sentenceComprehension
She exercises every morning,She exercises every morning,He relaxes every evening,They meditate every afternoon,We stretch every night,sentenceComprehension
The concert tickets are sold out,The concert tickets are sold out,The movie passes were available in,The show vouchers will be reserved out,The event coupons are booked in,sentenceComprehension
I forgot to set my alarm,I forgot to set my alarm,You remembered to cancel your timer,They recalled to activate their reminder,We neglected to disable our notification,sentenceComprehension
The garden is full of roses,The garden is full of roses,The yard was empty of tulips,The lawn will be packed of daisies,The field is void of lilies,sentenceComprehension
Please fasten your seatbelt,Please fasten your seatbelt,Kindly unbuckle your harness,Simply secure your strap,Gently release your belt,sentenceComprehension
