sentence,choice1,choice2,choice3,choice4,category
The storm is approaching quickly,The storm is approaching quickly,The rain was departing slowly,The snow will be arriving gradually,The wind is leaving rapidly,sentencesInNoise
Please bring your identification,Please bring your identification,Kindly take your passport,Simply carry your license,Gently fetch your credential,sentencesInNoise
The bakery sells fresh bread daily,The bakery sells fresh bread daily,The grocery buys stale milk weekly,The market trades rotten vegetables monthly,The store exchanges spoiled meat yearly,sentencesInNoise
I usually exercise in the evening,I usually exercise in the evening,You often relax in the morning,They sometimes meditate in the afternoon,We rarely stretch at night,sentencesInNoise
The river is very deep here,The river is very deep here,The lake was quite shallow there,The ocean will be rather narrow everywhere,The stream is fairly wide nowhere,sentencesInNoise
She is wearing a blue dress,She is wearing a blue dress,He was sporting a red shirt,They will be donning a green jacket,We are carrying a yellow coat,sentencesInNoise
The hotel has a beautiful view,The hotel has a beautiful view,The motel had an ugly sight,The resort will have a terrible scene,The inn has a lovely panorama,sentencesInNoise
I need to charge my laptop,I need to charge my laptop,You want to drain your tablet,They have to power your phone,We must deplete our camera,sentencesInNoise
The mountain is covered with snow,The mountain is covered with snow,The hill was buried in sand,The peak will be hidden under ice,The cliff is wrapped with rocks,sentencesInNoise
Please speak more slowly,Please speak more slowly,Kindly talk less quickly,Simply say rather gradually,Gently whisper somewhat rapidly,sentencesInNoise
The bus stop is around the corner,The bus stop is around the corner,The train station was across the street,The taxi stand will be down the road,The subway entrance is up the avenue,sentencesInNoise
I enjoy watching sunsets at the beach,I enjoy watching sunsets at the beach,You love viewing sunrises at the mountain,They like observing stars at the desert,We prefer seeing clouds at the valley,sentencesInNoise
The classroom is very quiet today,The classroom is very quiet today,The auditorium was quite noisy yesterday,The gymnasium will be rather loud tomorrow,The cafeteria is fairly silent tonight,sentencesInNoise
My neighbor has a friendly dog,My neighbor has a friendly dog,Your colleague had a mean cat,Their roommate will have a gentle bird,Our friend has a fierce rabbit,sentencesInNoise
The water in the pool is cold,The water in the pool is cold,The liquid in the tub was warm,The fluid in the fountain will be hot,The moisture in the pond is cool,sentencesInNoise
Please don't forget your umbrella,Please don't forget your umbrella,Kindly do remember your raincoat,Simply won't recall your jacket,Gently shouldn't neglect your sweater,sentencesInNoise
The pizza delivery arrived on time,The pizza delivery arrived on time,The food service departed late,The meal transport came early,The dish shipment left delayed,sentencesInNoise
I prefer reading books to watching television,I prefer reading books to watching television,You choose watching movies to reading magazines,They select playing games to viewing shows,We favor listening music to watching videos,sentencesInNoise
The museum has interesting exhibits,The museum has interesting exhibits,The gallery had boring displays,The showcase will have fascinating presentations,The collection has dull demonstrations,sentencesInNoise
She is baking cookies for the party,She is baking cookies for the party,He was cooking dinner for the gathering,They will be preparing cake for the celebration,We are making dessert for the event,sentencesInNoise
The phone rang three times,The phone rang three times,The bell chimed four occasions,The alarm buzzed five moments,The timer beeped six instances,sentencesInNoise
I need to vacuum the living room,I need to vacuum the living room,You want to sweep the bedroom,They have to mop the bathroom,We must dust the kitchen,sentencesInNoise
The football game was exciting,The football game was exciting,The basketball match is boring,The soccer competition will be thrilling,The baseball tournament was dull,sentencesInNoise
Please save your work before closing,Please save your work before closing,Kindly delete your file after opening,Simply store your document during editing,Gently erase your data throughout viewing,sentencesInNoise
The store offers a money-back guarantee,The store offers a money-back guarantee,The shop provides a credit-forward promise,The market gives a refund-return warranty,The outlet supplies a payment-ahead assurance,sentencesInNoise
I accidentally spilled coffee on my shirt,I accidentally spilled coffee on my shirt,You purposely poured tea on your pants,They carelessly dropped juice on their dress,We intentionally splashed water on our jacket,sentencesInNoise
The elevator is out of order,The elevator is out of order,The escalator was in service,The stairs will be under repair,The lift is available for use,sentencesInNoise
She volunteers at the animal shelter,She volunteers at the animal shelter,He works at the hospital,They help at the food bank,We assist at the community center,sentencesInNoise
The ice cream is melting quickly,The ice cream is melting quickly,The popsicle was freezing slowly,The sorbet will be solidifying gradually,The gelato is hardening rapidly,sentencesInNoise
Please keep off the grass,Please keep off the grass,Kindly stay on the sidewalk,Simply walk across the pavement,Gently move through the lawn,sentencesInNoise
The new restaurant received excellent reviews,The new restaurant received excellent reviews,The old cafe got terrible ratings,The recent diner obtained poor feedback,The latest bistro acquired great critiques,sentencesInNoise
I need to return these library books,I need to return these library books,You want to borrow those museum artifacts,They have to check out these gallery paintings,We must keep those archive documents,sentencesInNoise
The fireworks display was spectacular,The fireworks display was spectacular,The light show is mediocre,The laser presentation will be magnificent,The pyrotechnic exhibition was ordinary,sentencesInNoise
She practices yoga every morning,She practices yoga every morning,He performs exercises every evening,They do meditation every afternoon,We conduct stretches every night,sentencesInNoise
The printer is running low on ink,The printer is running low on ink,The copier was filled high with paper,The scanner will be empty of toner,The fax is overflowing with documents,sentencesInNoise
I enjoy listening to classical music,I enjoy listening to classical music,You love hearing to jazz songs,They like attending to rock concerts,We prefer watching to pop performances,sentencesInNoise
The dentist appointment is next Tuesday,The dentist appointment is next Tuesday,The doctor visit was last Monday,The therapist session will be this Wednesday,The specialist consultation is previous Thursday,sentencesInNoise
Please recycle your plastic bottles,Please recycle your plastic bottles,Kindly trash your glass containers,Simply compost your paper bags,Gently dispose your metal cans,sentencesInNoise
The construction will cause traffic delays,The construction will cause traffic delays,The renovation might prevent congestion relief,The demolition should create flow improvements,The building could avoid jam solutions,sentencesInNoise
